,team_id,team_name,country_name,match_count,goal_scored_total,goal_conceded_total,goal_scored_avg,goal_conceded_avg,dribbling,dribbling_class,passing,passing_class,speed,speed_class,assiting,assisting_class,crossing,crossing_class,shooting,shooting_class,defence,defence_class
40,8650,Liverpool,England,57,89.0,73.0,1.5614035087719298,1.280701754385965,60,Normal,45,Mixed,66,Balanced,34,Normal,34,Normal,46,Normal,51,Medium
41,8654,West Ham United,England,57,79.0,75.0,1.3859649122807018,1.3157894736842106,37,Normal,57,Mixed,77,Fast,68,Risky,73,Lots,29,Little,30,Deep
42,8659,West Bromwich Albion,England,57,54.0,71.0,0.9473684210526315,1.2456140350877194,32,Little,51,Mixed,62,Balanced,53,Normal,50,Normal,60,Normal,41,Medium
43,8667,Hull City,England,19,15.0,25.0,0.7894736842105263,1.3157894736842106,40,Normal,55,Mixed,56,Balanced,54,Normal,49,Normal,56,Normal,38,Medium
44,8668,Everton,England,57,78.0,74.0,1.368421052631579,1.2982456140350878,45,Normal,40,Mixed,43,Balanced,39,Normal,33,Little,63,Normal,52,Medium
45,8678,Bournemouth,England,38,45.0,67.0,1.1842105263157894,1.763157894736842,36,Normal,47,Mixed,47,Balanced,49,Normal,45,Normal,47,Normal,48,Medium
46,8686,Roma,Italy,60,109.0,61.0,1.8166666666666667,1.0166666666666666,27,Little,47,Mixed,68,Fast,71,Risky,54,Normal,66,Normal,36,Medium
47,8697,SV Werder Bremen,Germany,51,74.0,91.0,1.4509803921568627,1.7843137254901962,55,Normal,63,Mixed,56,Balanced,68,Risky,66,Normal,58,Normal,63,Medium
48,8721,VfL Wolfsburg,Germany,51,86.0,70.0,1.6862745098039216,1.3725490196078431,45,Normal,57,Mixed,68,Fast,69,Risky,66,Normal,50,Normal,66,Medium
49,8722,1. FC Köln,Germany,51,55.0,59.0,1.0784313725490196,1.1568627450980393,47,Normal,65,Mixed,59,Balanced,57,Normal,36,Normal,71,Lots,42,Medium
50,9783,RC Deportivo de La Coruña,Spain,60,67.0,94.0,1.1166666666666667,1.5666666666666667,55,Normal,47,Mixed,53,Balanced,38,Normal,52,Normal,55,Normal,45,Medium
51,9788,Borussia Mönchengladbach,Germany,51,95.0,60.0,1.8627450980392157,1.1764705882352942,53,Normal,32,Short,31,Slow,38,Normal,26,Little,49,Normal,41,Medium
52,9789,Borussia Dortmund,Germany,51,111.0,50.0,2.176470588235294,0.9803921568627451,37,Normal,40,Mixed,71,Fast,70,Risky,44,Normal,49,Normal,65,Medium
53,9790,Hamburger SV,Germany,51,56.0,77.0,1.0980392156862746,1.5098039215686274,56,Normal,52,Mixed,42,Balanced,62,Normal,58,Normal,47,Normal,44,Medium
54,9804,Torino,Italy,60,88.0,82.0,1.4666666666666666,1.3666666666666667,69,Lots,36,Mixed,69,Fast,37,Normal,69,Lots,53,Normal,39,Medium
55,9810,Eintracht Frankfurt,Germany,51,56.0,80.0,1.0980392156862746,1.5686274509803921,41,Normal,38,Mixed,51,Balanced,47,Normal,58,Normal,40,Normal,48,Medium
56,9817,Watford,England,38,40.0,50.0,1.0526315789473684,1.3157894736842106,32,Little,52,Mixed,61,Balanced,54,Normal,42,Normal,45,Normal,38,Medium
57,9823,FC Bayern Munich,Germany,51,119.0,31.0,2.3333333333333335,0.6078431372549019,24,Little,28,Short,45,Balanced,37,Normal,31,Little,22,Little,72,High
58,9825,Arsenal,England,57,102.0,49.0,1.7894736842105263,0.8596491228070176,51,Normal,30,Short,59,Balanced,28,Safe,44,Normal,46,Normal,51,Medium
