METRO_ID,Metropolitan areas,Total GDP(millions),Percapita GDP
USA01,New York (Greater),1510122.0,74668.0
USA02,Los Angeles (Greater),1032218.5,57974.5
USA03,Chicago ,592692.5,62050.0
USA04,Washington (Greater),630603.5,70209.0
USA05,San Francisco (Greater),645481.5,96870.0
USA06,Philadelphia (Greater),415863.5,64522.0
USA07,Dallas,455076.5,61976.0
USA08,Houston,442203.0,64800.0
USA09,Miami (Greater),299299.0,48086.0
USA10,Atlanta,307694.0,56873.0
USA100,Escambia,15676.5,32739.5
USA101,Caddo,19604.0,43359.5
USA102,Tulare,14179.0,30840.0
USA103,Newport News,21396.5,48387.5
USA104,York,16711.5,37739.5
USA105,Genesee,12181.5,29752.5
USA106,Jefferson (TX),22637.0,52497.5
USA107,Santa Barbara,23023.5,51726.5
USA108,Lafayette,14919.5,34045.0
USA109,Monterey,20886.0,48062.0
USA11,Boston,342732.5,78588.0
USA110,Mobile,17107.0,41249.5
USA111,Berks,17607.0,42374.5
USA112,Cameron,9142.5,21733.5
USA113,Bell,15445.5,35527.0
USA114,Nueces,19192.5,44828.5
USA115,Marion (OR),14632.5,35439.5
USA116,Allen,18078.5,44940.5
USA117,Scott,17549.5,45818.0
USA118,Stark,13981.0,37369.0
USA119,Tallahassee,13821.0,36515.0
USA12,Phoenix,206868.5,44936.5
USA120,Cumberland (NC),15534.0,40285.5
USA121,Lane,13680.0,37478.0
USA122,Winnebago (IL),13409.0,39417.0
USA123,Chatham,15828.5,41520.0
USA124,Vanderburgh,15765.0,45150.5
USA125,Washtenaw,20247.5,55732.0
USA126,Lubbock,12047.0,33341.5
USA127,Madison,17906.5,50507.5
USA128,Marion (FL),7467.5,21612.0
USA129,Peoria,15633.0,48014.0
USA13,Detroit (Greater),229623.0,52604.0
USA130,Collier,15744.0,43531.0
USA131,Luzerne,11953.5,37660.0
USA132,Lancaster (NE),17698.0,52077.5
USA133,Thurston,10291.5,30939.0
USA134,Sebastian,9080.0,29398.0
USA135,Roanoke,13816.5,44116.0
USA136,Muscogee,12451.5,38798.5
USA137,Brown,17021.0,53767.0
USA138,Alachua,11121.0,34878.5
USA139,Larimer,14202.5,42304.5
USA14,Seattle,297810.0,79078.0
USA140,Boulder,21797.5,68208.0
USA141,Potter,11920.0,40904.0
USA142,Cumberland (ME),15081.0,51976.5
USA143,Erie (PA),10166.0,36670.5
USA144,St. Lucie,8108.0,26847.5
USA145,Nashville ,19915.5,62887.5
USA146,Atlantic City,11634.5,42781.5
USA147,McLennan,10490.0,37245.5
USA148,Durham,20941.5,68875.0
USA149,Lackawanna,7996.0,30426.0
USA15,Minneapolis,225088.5,64547.5
USA150,St. Joseph,10395.0,38645.5
USA151,Santa Cruz,11833.5,43071.0
USA152,Webb,7315.5,26247.0
USA153,Minnehaha,16886.5,60273.5
USA154,Merced,7524.0,28059.5
USA155,Benton (WA),11881.0,42218.0
USA156,Weld,10346.0,35778.0
USA157,Kalamazoo,11375.5,43700.5
USA158,Butte,7057.5,27830.0
USA16,San Diego,198721.5,60149.0
USA160,Yakima,8445.5,33963.5
USA161,Brazos,8880.0,33362.0
USA162,Tuscaloosa,10054.5,40324.0
USA17,St. Louis,132642.0,50932.0
USA170,Benton (AR),11832.0,46416.5
USA18,Denver,178076.0,62936.0
USA19,San Antonio,107217.0,44267.5
USA20,Portland,146892.0,63864.5
USA21,Cincinnati,118924.0,56360.5
USA22,Las Vegas,96532.5,44242.0
USA23,Orange,114754.5,47376.0
USA24,Jackson (MO),109568.5,54312.0
USA25,Indianapolis,122844.5,61999.5
USA26,Cuyahoga,119130.5,57790.0
USA27,New Haven,129125.0,71362.0
USA28,Charlotte,115922.0,59790.5
USA29,Sacramento,108508.0,47566.5
USA30,Austin,120544.0,59028.0
USA31,Columbus,117655.5,58851.5
USA32,Milwaukee,92381.0,58607.5
USA33,Jacksonville,64691.5,41641.0
USA34,Salt Lake,87503.5,54834.5
USA35,Tampa-Pinellas,60862.5,41718.0
USA36,Jefferson (KY),67562.5,48776.0
USA37,Memphis,64181.0,49150.5
USA38,Davidson,83235.0,59767.0
USA39,Oklahoma,65413.0,49367.5
USA40,Hartford,80594.0,66520.0
USA41,Pittsburgh,75948.0,52876.0
USA42,New Orleans,71064.0,57042.5
USA43,Virginia Beach,56258.5,47734.5
USA44,Erie (NY),52872.5,46551.5
USA45,Fresno (Greater),41790.5,36961.5
USA46,Richmond (Greater),62414.5,54668.5
USA47,Wake,67545.0,55145.5
USA48,Jefferson (AL),53120.5,49216.0
USA49,Tampa-Hillsborough,57369.5,41988.0
USA50,Pima,33708.5,33410.0
USA51,Tulsa,53325.5,52046.0
USA52,Albany,47673.5,48687.5
USA53,Providence,43966.0,45172.5
USA54,Albuquerque,38860.5,41687.0
USA55,Douglas (NE),57145.5,61704.5
USA56,Rochester (NY),39889.0,46726.5
USA57,Kern,33414.5,37872.0
USA58,Ventura,45556.5,53595.5
USA59,El Paso (TX),25702.0,30642.5
USA60,East Baton Rouge,48150.5,57827.0
USA61,Worcester,32726.5,39933.5
USA62,Hidalgo,17705.5,20948.5
USA63,Richland,36459.5,45973.0
USA64,Lehigh,33249.5,45763.5
USA65,Sarasota,26793.0,34421.5
USA66,Montgomery (OH),31495.5,45257.5
USA67,San Joaquin,23310.5,31971.5
USA68,Kent,34762.5,49479.0
USA69,Charleston,34955.5,46383.5
USA70,Onondaga,29862.5,45357.5
USA71,El Paso (CO),27970.5,39771.0
USA72,Ada,28322.5,39972.0
USA73,Hampden,24615.0,39029.5
USA74,Lee,24168.5,33969.5
USA75,Sedgwick,28063.5,46660.5
USA76,Polk,48248.0,75620.0
USA77,Dauphin,32503.5,54990.5
USA78,Lucas,27968.5,49733.0
USA79,Pulaski,27079.5,46540.5
USA80,Dane,38692.0,66368.5
USA81,Brevard,18457.0,32246.5
USA82,Summit,24831.0,45912.5
USA83,Hamilton (TN),23272.5,42343.0
USA84,Utah,20897.0,35254.5
USA85,Lancaster (PA),25381.5,47192.0
USA86,Stanislaus,18175.5,33769.5
USA87,Greene,16813.0,32020.5
USA88,Fayette,26003.5,48763.5
USA89,Spokane,20138.0,38983.5
USA90,Volusia-Daytona Beach,11975.0,22884.0
USA91,Guilford,25312.5,48692.5
USA92,Sonoma,24654.0,49017.0
USA93,Forsyth,19616.5,39606.5
USA94,Washoe,22008.0,43595.5
USA95,Ingham,19693.5,41660.0
USA96,Montgomery (AL),15612.0,34688.0
USA97,Knox,19411.0,41043.0
USA98,Greenville,20278.5,40972.0
USA99,Mahoning,14249.0,32869.5
